,launch,year,date,kms,points,dep,flight type,pilot name,take off,landing,dist1,dist2,dist3,dist4,route,cat,wing,speed,duration,max alt,BD,lat BD,lon BD,time BD,BA,lat BA,lon BA,time BA,sex
1026,millau,2017-2018,12/07/2018,18.01,21.62,12,triangle,Violaine PUECH,Millau Puncho,Millau Plage,8.43,1.92,7.65,0.0,0,B,Epsilon 8,19.0,0.9,0.0,Millau officiel,44132.0,311228.0,1531418228.0,Millau officiel,441158.0,308222.0,1531421641.0,female
1027,millau,2017-2018,12/07/2018,18.01,21.62,12,triangle,Damien FRANCOIS,Millau Puncho,Millau Plage,8.43,1.92,7.65,0.0,0,A,Eona,19.0,0.9,0.0,Millau officiel,44132.0,311228.0,1531418228.0,Millau officiel,441158.0,308222.0,1531421641.0,male
1028,millau,2017-2018,12/07/2018,18.01,21.62,12,triangle,Julien REY,Millau Puncho,Millau Plage,8.43,1.92,7.65,0.0,0,A,Mojo 5,19.0,0.9,0.0,Millau officiel,44132.0,311228.0,1531418228.0,Millau officiel,441158.0,308222.0,1531421641.0,male
1029,millau,2017-2018,12/07/2018,18.01,21.62,12,triangle,Aymeric JOUNO,Millau Puncho,Millau Plage,8.43,1.92,7.65,0.0,0,B,LEAF,19.0,0.9,0.0,Millau officiel,44132.0,311228.0,1531418228.0,Millau officiel,441158.0,308222.0,1531421641.0,male
1030,millau,2017-2018,12/07/2018,18.01,21.62,12,triangle,Cedric MIRAMOND,Millau Puncho,Millau Plage,8.43,1.92,7.65,0.0,0,A,Koyot 2,19.0,0.9,0.0,Millau officiel,44132.0,311228.0,1531418228.0,Millau officiel,441158.0,308222.0,1531421641.0,male
1031,millau,2017-2018,12/07/2018,18.01,21.62,12,triangle,Alain VARGAS,Millau Puncho,Millau Plage,8.43,1.92,7.65,0.0,0,B,Mistral 7,19.0,0.9,1082.0,Millau officiel,44132.0,311228.0,1531418228.0,Millau officiel,441158.0,308222.0,1531421641.0,male
1032,millau,2017-2018,12/07/2018,18.01,21.62,12,triangle,Matheo GUY,Millau Puncho,Millau Plage,8.43,1.92,7.65,0.0,0,A,Eona,19.0,0.9,0.0,Millau officiel,44132.0,311228.0,1531418228.0,Millau officiel,441158.0,308222.0,1531421641.0,male
1033,millau,2017-2018,12/07/2018,19.47,23.37,12,triangle,Philippe LABATUT,Millau Puncho,La Grauffesenque,9.49,1.42,8.55,0.0,0,B,Iota 2,20.5,0.9,1149.0,Puncho,441164.0,310493.0,1531419586.0,La Grauffesenque,440999.0,309163.0,1531423002.0,male
1034,millau,2017-2018,12/07/2018,16.89,20.26,12,triangle,Patrice COELHO,Millau Puncho,Millau plage,7.82,7.88,1.17,0.0,0,bi,Safari,16.3,1.0,1029.0,Millau Puncho,441103.0,310043.0,1531417329.0,Millau plage,441145.0,308702.0,1531421050.0,male
1035,millau,2017-2018,19/07/2018,36.16,36.16,12,Dist 3 pts,Gerard SOMPAYRAC,Millau Pouncho,NO du chateau d'Hauterives,1.35,10.85,20.22,3.72,0,D,King,17.8,2.0,2311.0,Puncho d'Agast,441106.0,30997.0,1532005284.0,NO du chateau d'Hauterives,443537.0,333672.0,1532012587.0,male
1036,millau,2017-2018,19/07/2018,60.44,60.44,12,Dist 3 pts,Julien FELIPE,Millau Puncho,croix du mont mimat,30.46,4.3,14.0,11.65,0,B,rush4,16.2,3.7,2702.0,Millau Puncho,441107.0,310065.0,1532005289.0,croix du mont mimat,445167.0,351437.0,1532018681.0,male
1037,millau,2017-2018,19/07/2018,89.97,107.97,12,triangle,Alain CAPOULADE,Millau Puncho,Millau Puncho,36.28,43.83,9.81,0.0,0,D,Omega Xalps 2,20.5,4.4,2860.0,Le Monna,441143.0,312767.0,1532004941.0,Millau Puncho,441146.0,309058.0,1532020755.0,male
1038,millau,2017-2018,19/07/2018,65.03,65.03,12,Dist 3 pts,Stephane CLAVERIA,Millau Pouncho,croix du mont mimat,56.63,2.75,4.36,1.25,0,D,Poison XAlps,16.8,3.9,2626.0,Millau Puncho,441105.0,310008.0,1532005243.0,croix du mont mimat,445127.0,350337.0,1532019155.0,male
1039,millau,2017-2018,11/07/2018,38.38,38.38,12,Dist 3 pts,Olivier ANGENARD,Millau Puncho,Millau Plage,8.83,13.79,10.25,5.49,0,D,Omega XAlps,28.0,1.4,1186.0,Millau Puncho,441107.0,31013.0,1531330439.0,"Puncho ""devant déco Ouest""",441126.0,308998.0,1531335366.0,male
1040,millau,2017-2018,26/07/2018,40.82,48.99,12,triangle,Charles WILHELM,Millau Puncho,Millau Plage,16.63,5.28,18.89,0.0,0,D,Omega XAlps,17.7,2.3,3109.0,Puncho Déco Sud,441099.0,310472.0,1532606665.0,Millau Puncho,441144.0,30864.0,1532614969.0,male
1041,millau,2017-2018,26/07/2018,19.54,23.45,12,triangle,Michel VAYSSE,Millau Puncho,La Grauffesenque,2.53,7.37,9.63,0.0,0,B,Epsilon 8,21.3,0.9,1058.0,Falaise,441206.0,31096.0,1532623450.0,La Grauffesenque,440987.0,309028.0,1532626749.0,male
1042,millau,2017-2018,27/07/2018,81.94,81.94,12,Dist 3 pts,Rodolphe HENNEBIQUE,Millau Pouncho Ouest,St Chély d'Apcher,4.54,1.29,69.73,6.32,0,B,Rise 2,24.8,3.3,2829.0,Pounche déco,441084.0,30971.0,1532692636.0,St Chély d'Apcher,4479.0,330402.0,1532704551.0,male
1043,millau,2017-2018,25/07/2018,36.67,51.34,12,triangle FAI,Mateo PORTELA,Millau Puncho,Millau Plage,13.41,10.47,12.77,0.0,0,B,Hook 3,20.0,1.8,2777.0,Millau Puncho,441111.0,31022.0,1532525877.0,Pouncho d'Agast Deco,440917.0,307765.0,1532532472.0,male
1044,millau,2017-2018,25/07/2018,32.82,32.82,12,Dist 3 pts,Nicolas BESSEGE,Millau Puncho,Saint-Georges-de-Luzençon,8.2,15.69,4.66,4.24,0,C,Delta 3,14.1,2.3,2778.0,Puncho Déco Sud,4411.0,310295.0,1532527039.0,Saint-Georges-de-Luzençon,440718.0,299112.0,1532535423.0,male
1045,millau,2017-2018,28/07/2018,17.55,24.57,12,triangle FAI,Patrick PRUVOST,Millau Puncho,Gandalous,7.17,5.29,5.07,0.0,0,C,Delta 2,9.5,1.8,1729.0,Millau Puncho,441237.0,308572.0,1532788484.0,Pic d'Andan,441378.0,3054.0,1532795108.0,male
1046,millau,2017-2018,26/07/2018,62.34,62.34,12,Dist 3 pts,Fabien VIGUIER,Millau Pouncho,lavernhe,23.57,5.79,7.49,25.44,0,D,mantra 6,16.8,3.7,3025.0,Pounche déco,441093.0,309948.0,1532606111.0,lavernhe,442908.0,29803.0,1532619486.0,male
1047,millau,2017-2018,25/07/2018,22.54,22.54,12,Dist 3 pts,Pascal CAUQUIL,Millau Puncho,Millau camping,6.03,6.03,4.81,5.67,0,B,Epsilon 8,9.5,2.4,1285.0,Pouncho d Agast Deco,441102.0,310058.0,1532531635.0,Millau camping,441064.0,308567.0,1532540179.0,male
1048,millau,2017-2018,03/08/2018,74.14,88.96,12,triangle,Thierry CAPERAN,Millau Pouncho,Millau camping,14.94,27.43,31.71,0.0,0,D,Peak 2,23.4,3.2,3564.0,Falaise,441206.0,312028.0,1533298520.0,Millau camping,441088.0,3087.0,1533309915.0,male
